reviewerID,first_interaction,last_interaction,frequency,monetary,avg_rating,distinct_categories,recency,customer_age_T,r_score,f_score,m_score,rfm_segment,rfm_composite_score,cluster,pca_x,pca_y,pca_z,is_outlier,centroid_distance,clv_pred,p_active,churn_probability,expected_transactions_1y,projected_clv_1y,churn_risk_level,persona,priority_level,marketing_strategy,preferred_channel,discount_incentive
A000251Z,2024-02-25,2025-10-15,9,1397.03,3.888888888888889,9,78,676,3,3,4,334,3.3,0,0.3399,-0.4098,0.3665,False,0.888,320.76,0.591,0.409,2.87,412.97,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000252C,2024-02-08,2025-12-20,16,2274.75,4.0,16,12,693,4,5,5,455,4.6,3,1.5406,-0.3358,-0.1531,False,0.431,707.07,0.727,0.273,6.12,806.26,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000253R,2025-01-03,2025-04-03,2,426.01,3.5,2,273,363,2,1,1,211,1.4000000000000001,1,-1.8989,0.0871,0.3205,False,0.671,113.29,0.499,0.501,1.0,197.99,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000254Q,2024-02-10,2025-09-17,13,1569.65,4.0,13,106,691,3,4,4,344,3.6000000000000005,0,0.6941,-0.627,0.6182,False,1.111,271.15,0.402,0.598,2.76,308.94,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000255M,2024-04-17,2025-11-29,11,1247.75,4.454545454545454,11,33,624,3,4,4,344,3.6000000000000005,3,0.9074,0.2799,0.5785,False,0.879,462.48,0.676,0.324,4.35,456.71,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000256S,2025-08-02,2025-12-31,9,894.13,4.222222222222222,9,1,152,5,3,3,533,3.8,2,1.0256,1.0629,-0.7575,False,0.69,1513.27,0.76,0.24,16.42,1510.9,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000257U,2024-08-04,2025-03-16,2,417.06,4.0,2,291,515,2,1,1,211,1.4000000000000001,1,-1.6587,0.539,0.8107,False,0.95,69.53,0.573,0.427,0.81,156.95,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000258D,2024-02-12,2025-01-20,11,1306.97,3.3636363636363638,11,346,689,1,4,4,144,2.8,0,-0.1424,-1.3592,0.4522,False,0.397,45.24,0.05,0.95,0.29,32.05,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000259Q,2025-07-17,2025-12-26,8,868.6,4.125,8,6,168,4,3,3,433,3.4,2,0.5982,0.7128,-0.3778,False,0.484,1395.62,0.725,0.275,12.61,1267.53,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000260S,2025-09-04,2025-12-26,18,2363.9,3.9444444444444446,18,6,119,4,5,5,455,4.6,3,1.762,-0.3016,-0.4318,False,0.649,2944.7,0.626,0.374,32.63,3967.99,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000261H,2024-02-21,2025-03-12,6,627.89,3.0,6,295,680,2,2,2,222,2.0,0,-1.2183,-1.0349,-0.0318,False,0.982,49.7,0.293,0.707,0.94,91.34,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000262V,2024-12-25,2024-12-25,1,154.76,3.0,1,372,372,1,1,1,111,1.0,1,-3.2052,0.2053,-0.1186,False,0.951,49.23,0.599,0.401,0.59,84.18,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000263B,2025-09-02,2025-12-26,24,2949.67,4.5,24,6,121,4,5,5,455,4.6,3,2.4306,-0.0397,0.1206,False,0.829,3728.59,0.626,0.374,32.63,3713.44,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000264Z,2025-06-23,2025-12-31,9,1000.2099999999999,3.3333333333333335,9,1,192,5,3,3,533,3.8,2,0.6206,0.1977,-1.5812,False,1.09,1443.59,0.762,0.238,13.03,1341.2,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000265X,2025-02-27,2025-02-27,1,149.76,5.0,1,308,308,2,1,1,211,1.4000000000000001,1,-2.1172,2.1081,1.6758,False,2.179,89.51,0.599,0.401,0.71,98.38,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000266S,2024-01-06,2025-02-17,6,540.11,3.5,6,318,726,1,2,2,122,1.6,0,-1.0607,-0.5307,0.455,False,0.911,36.5,0.289,0.711,0.87,72.55,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000267K,2024-01-16,2025-01-24,12,1334.72,2.4166666666666665,12,342,716,1,4,4,144,2.8,0,-0.5642,-2.2808,-0.4298,False,1.493,44.06,0.05,0.95,0.31,31.5,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000268Q,2024-01-18,2024-12-17,11,1176.41,3.6363636363636362,11,380,714,1,4,3,143,2.5,0,-0.0821,-1.0882,0.7365,False,0.472,31.71,0.05,0.95,0.28,27.84,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000269W,2024-01-31,2025-12-05,13,1843.53,3.6923076923076925,13,27,701,3,4,5,345,3.9000000000000004,3,0.916,-0.6231,-0.1734,False,0.965,520.76,0.69,0.31,4.67,613.14,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000270A,2024-01-22,2025-08-28,8,1322.19,3.875,8,126,710,2,3,4,234,2.9,0,0.1069,-0.4658,0.5244,False,0.718,205.12,0.516,0.484,2.12,324.79,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000271B,2024-01-05,2025-06-24,3,250.29000000000002,3.6666666666666665,3,191,727,2,1,1,211,1.4000000000000001,1,-1.8181,0.4002,0.3292,False,0.588,78.87,0.639,0.361,0.96,74.31,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000272R,2024-03-12,2024-03-12,1,35.87,4.0,1,660,660,1,1,1,111,1.0,1,-3.6896,1.5903,0.9485,False,1.852,3.14,0.599,0.401,0.33,11.0,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000273N,2024-11-04,2024-12-20,2,343.63,2.5,2,377,423,1,1,1,111,1.0,1,-2.635,-0.8259,-0.5033,False,1.554,45.69,0.444,0.556,0.77,121.83,Medium,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000274P,2024-11-01,2025-05-20,2,170.81,5.0,2,226,426,2,1,1,211,1.4000000000000001,1,-1.6239,1.9062,1.5952,False,2.101,121.33,0.587,0.413,1.01,79.53,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000275X,2025-08-14,2025-12-31,9,1197.29,3.5555555555555554,9,1,140,5,3,3,533,3.8,2,0.851,0.325,-1.3629,False,0.947,1780.55,0.759,0.241,17.82,2194.45,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000276D,2025-08-29,2025-12-31,6,756.3,3.3333333333333335,6,1,125,5,2,2,522,3.2,2,0.1424,0.5177,-1.6241,False,0.954,1531.44,0.762,0.238,13.34,1557.38,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000277R,2024-01-07,2025-02-23,8,1319.92,2.75,8,312,725,2,3,4,234,2.9,0,-0.6875,-1.7387,-0.1811,False,0.96,53.58,0.174,0.826,0.7,107.36,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000278Y,2024-03-07,2024-10-22,6,823.51,2.8333333333333335,6,436,665,1,2,2,122,1.6,0,-1.222,-1.4075,-0.022,False,1.056,20.86,0.125,0.875,0.41,52.26,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000279Q,2024-01-09,2024-10-08,12,1210.74,2.75,12,450,723,1,4,3,143,2.5,0,-0.5053,-2.0052,-0.0194,False,1.063,19.22,0.05,0.95,0.3,28.3,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000280C,2024-01-28,2025-02-25,11,924.01,3.3636363636363638,11,310,704,2,4,3,243,2.9,0,-0.3345,-1.1818,0.3895,False,0.177,47.45,0.064,0.936,0.37,28.6,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000281C,2024-11-08,2025-12-18,3,457.97999999999996,4.0,3,14,419,4,1,2,412,2.5,2,-0.721,1.1249,-0.3002,False,1.205,618.8,0.754,0.246,1.97,278.51,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000282L,2024-01-10,2025-11-13,12,1349.97,4.0,12,49,722,3,4,4,344,3.6000000000000005,3,0.6996,-0.319,0.3122,False,0.969,342.31,0.634,0.366,3.84,400.49,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000283V,2024-01-22,2025-12-13,12,1510.96,4.083333333333333,12,19,710,4,4,4,444,4.0,3,1.0098,-0.0476,0.0457,False,0.599,466.84,0.72,0.28,4.44,517.64,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000284E,2025-09-03,2025-12-28,26,3266.45,4.730769230769231,26,4,120,5,5,5,555,5.0,3,2.7548,0.1748,0.219,False,1.172,4334.25,0.678,0.322,35.33,4110.17,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000285C,2025-08-29,2025-12-31,6,861.95,3.1666666666666665,6,1,125,5,2,3,523,3.5,2,0.1346,0.3085,-1.772,False,1.175,1604.88,0.762,0.238,13.34,1774.93,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000286E,2025-09-02,2025-12-23,28,3988.39,4.321428571428571,28,9,121,4,5,5,455,4.6,3,2.5734,-0.5111,0.1194,False,1.09,5713.46,0.543,0.457,28.3,3732.61,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000287J,2025-07-17,2025-12-07,4,494.42999999999995,3.0,4,25,168,3,2,2,322,2.4000000000000004,2,-1.1345,-0.0985,-1.0027,False,1.8,1047.79,0.673,0.327,5.85,669.83,Medium,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000288V,2025-09-15,2025-10-22,4,313.88,4.25,4,71,108,3,2,1,321,2.1,1,-0.9664,0.9748,0.5282,False,1.508,806.44,0.288,0.712,3.9,283.16,High,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000289W,2024-05-03,2025-10-28,8,1135.4,4.25,8,65,608,3,3,3,333,3.0,0,0.3523,0.1178,0.6148,False,1.345,368.43,0.626,0.374,3.01,395.19,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000290U,2025-07-15,2025-12-31,8,677.3100000000001,4.0,8,1,170,5,3,2,532,3.5,2,0.6445,1.0366,-0.9895,False,0.394,1321.72,0.762,0.238,13.08,1025.71,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000291T,2025-09-05,2025-12-23,23,2963.72,4.3478260869565215,23,9,118,4,5,5,455,4.6,3,2.2413,-0.2534,0.1124,False,0.682,3711.43,0.543,0.457,28.3,3376.62,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000292Y,2025-09-06,2025-12-28,18,2853.11,4.555555555555555,18,4,117,5,5,5,555,5.0,3,2.2771,0.269,0.0215,False,0.741,3727.15,0.678,0.322,35.33,5185.65,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000293L,2024-12-08,2024-12-08,1,30.97,3.0,1,389,389,1,1,1,111,1.0,1,-4.1996,0.8719,-0.1964,False,1.898,39.73,0.599,0.401,0.56,16.11,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000294N,2024-01-27,2025-12-20,15,1362.71,3.8666666666666667,15,12,705,4,5,4,454,4.3,3,1.0991,-0.2049,-0.3128,False,0.696,460.22,0.73,0.27,5.67,477.02,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000295V,2025-09-07,2025-12-25,26,3361.14,4.346153846153846,26,7,116,4,5,5,455,4.6,3,2.4668,-0.3158,0.0415,False,0.919,4467.72,0.599,0.401,31.22,3736.67,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000296S,2025-09-07,2025-12-31,5,829.56,3.6,5,1,116,5,2,2,522,3.2,2,0.2107,0.8099,-1.3807,False,0.635,1620.99,0.762,0.238,11.99,1842.49,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000297K,2024-01-14,2025-01-11,11,876.36,3.272727272727273,11,355,718,1,4,3,143,2.5,0,-0.4448,-1.2785,0.3531,False,0.296,32.77,0.05,0.95,0.28,20.63,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000298Q,2024-08-31,2025-08-07,11,1274.21,4.090909090909091,11,147,488,2,4,4,244,3.2,0,0.4122,-0.4536,0.8036,False,1.03,289.46,0.19,0.81,1.56,167.56,High,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000299S,2024-07-02,2024-11-08,5,558.52,2.4,5,419,548,1,2,2,122,1.6,0,-1.8177,-1.5427,-0.4766,False,1.791,27.62,0.135,0.865,0.45,46.46,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000300V,2025-09-04,2025-12-11,14,1709.39,4.571428571428571,14,21,119,4,4,4,444,4.0,3,1.449,0.2427,0.5561,False,0.522,2008.03,0.315,0.685,13.53,1529.63,High,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000301P,2025-09-11,2025-12-30,25,3176.58,4.4,25,2,112,5,5,5,555,5.0,3,2.6377,0.0393,-0.2902,False,1.119,4317.79,0.725,0.275,37.82,4450.11,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000302D,2025-08-22,2025-12-31,6,764.83,4.333333333333333,6,1,132,5,2,2,522,3.2,2,0.6834,1.4323,-0.6892,False,0.648,1512.12,0.762,0.238,12.64,1492.14,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000303Y,2025-09-23,2025-12-31,4,460.40000000000003,4.25,4,1,100,5,2,2,522,3.2,2,0.0365,1.7617,-0.822,False,0.946,1433.62,0.763,0.237,11.14,1186.88,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000304D,2024-01-18,2025-01-15,12,1898.19,3.0833333333333335,12,351,714,1,4,5,145,3.1,0,0.0052,-1.8255,0.224,False,0.869,53.35,0.05,0.95,0.31,44.92,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000305W,2024-01-04,2025-01-10,7,988.89,3.5714285714285716,7,356,728,1,2,3,123,1.9,0,-0.5569,-0.8286,0.6108,False,0.427,33.84,0.177,0.823,0.62,81.15,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000306W,2024-02-19,2025-06-21,2,442.85,5.0,2,194,682,2,1,2,212,1.7000000000000002,1,-1.0012,1.5398,1.5938,False,2.205,93.8,0.678,0.322,0.73,148.8,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000307T,2025-09-03,2025-12-31,7,724.03,4.285714285714286,7,1,120,5,2,2,522,3.2,2,0.7379,1.3369,-0.7272,False,0.597,1522.75,0.76,0.24,16.18,1549.98,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000308Z,2024-01-27,2025-08-07,11,1584.65,3.909090909090909,11,147,705,2,4,4,244,3.2,0,0.4506,-0.7142,0.6468,False,0.875,199.29,0.346,0.654,1.97,263.14,High,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000309G,2024-01-20,2024-11-18,6,701.65,4.333333333333333,6,409,712,1,2,2,122,1.6,0,-0.5068,0.057,1.3453,False,1.497,21.39,0.174,0.826,0.54,57.96,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000310P,2024-06-04,2025-12-28,15,2087.19,4.2,15,4,576,5,5,5,555,5.0,3,1.7462,0.1725,-0.342,False,0.528,909.38,0.753,0.247,7.16,922.61,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000311Q,2025-08-20,2025-12-31,6,718.56,4.5,6,1,134,5,2,2,522,3.2,2,0.7337,1.6122,-0.5372,False,0.857,1474.46,0.762,0.238,12.46,1381.13,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000312H,2025-09-08,2025-12-27,24,3549.07,4.5,24,5,115,4,5,5,455,4.6,3,2.5786,-0.0781,0.0726,False,0.98,4967.48,0.652,0.348,34.01,4656.21,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000313P,2025-09-03,2025-12-12,18,2453.56,4.666666666666667,18,20,120,4,5,5,455,4.6,3,1.9362,0.0551,0.6662,False,0.636,2770.69,0.252,0.748,13.16,1661.23,High,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000314L,2024-04-05,2025-07-28,3,364.65999999999997,3.3333333333333335,3,157,636,2,1,1,211,1.4000000000000001,1,-1.7212,-0.0153,-0.0344,False,0.882,130.51,0.647,0.353,1.11,125.45,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000315Q,2024-01-18,2025-06-30,3,314.01,3.6666666666666665,3,185,714,2,1,1,211,1.4000000000000001,1,-1.6708,0.3118,0.3306,False,0.751,87.25,0.641,0.359,0.98,95.22,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000316N,2024-03-13,2025-01-14,12,1693.03,3.5833333333333335,12,352,659,1,4,4,144,2.8,0,0.2005,-1.3176,0.6854,False,0.687,55.06,0.05,0.95,0.33,43.41,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000317P,2025-08-10,2025-12-31,4,545.98,4.0,4,1,144,5,2,2,522,3.2,2,0.0088,1.459,-1.0454,False,0.736,1342.54,0.765,0.235,7.75,979.69,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000318Z,2024-01-14,2025-12-02,14,1514.6299999999999,4.071428571428571,14,30,718,3,4,4,344,3.6000000000000005,3,1.0335,-0.2562,0.2131,False,0.623,422.09,0.675,0.325,4.81,481.41,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000319D,2024-01-06,2025-06-15,12,1419.3400000000001,3.8333333333333335,12,200,726,2,4,4,244,3.2,0,0.3446,-0.8628,0.6926,False,0.761,121.11,0.191,0.809,1.15,126.09,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000320L,2024-01-03,2025-10-18,13,1909.24,4.0,13,75,729,3,4,5,345,3.9000000000000004,3,0.8889,-0.6201,0.4988,False,1.005,358.33,0.532,0.468,3.47,471.29,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000321P,2025-09-06,2025-12-31,6,893.84,4.166666666666667,6,1,117,5,2,3,523,3.5,2,0.6912,1.2123,-0.8356,False,0.476,1658.68,0.761,0.239,14.25,1965.22,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000322L,2024-04-01,2025-03-13,9,1289.14,3.3333333333333335,9,294,640,2,3,4,234,2.9,0,-0.2881,-1.2357,0.3475,False,0.218,73.03,0.108,0.892,0.56,73.77,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000323X,2024-04-09,2024-11-06,5,394.77,3.4,5,421,632,1,2,1,121,1.3,0,-1.5,-0.4762,0.4387,False,1.319,20.78,0.188,0.812,0.54,39.64,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
